procedure,proc_group
"ANT. CERVICAL CORPECTOMY C5 WITH REMOVAL DISC C4-5, C5-6",Spine
ANTEGRADE FLEXIBLE CYSTOSCOPE WITH LT. URSL,Cystoscopy_URO
ANTERIOR MINITHORACOTOMY WITH PERICARDIAL BIOPSY+ PLEURO-PERICARDIAL WINDOW,Skin_softtissue
ANTERIOR PALATOPLASTY + RF NOSE (GA),ENT
AORTOGRAPHY +- RELINING STENT RT LIMB,Vascular_interv
APPENDECTOMY,GI_abdominal
APR,GI_abdominal
APR C REPAIR VENTRAL HERNIA +- S3 SACRECTOMY,GI_abdominal
ARTERIOVENOSTOMY FOR RENAL DIALYSIS,สาขา:หลอดเลือด
AUGMENTED RHINOPLASTY,ENT
AVBG,Vascular_access
AVBG AT LT UPPER ARM,Vascular_access
AVBG AT LT.FOREARM,Vascular_access
AVBG AT LT.FOREARM UNDER BPB,Vascular_access
AVBG AT RT UPPER ARM,Vascular_access
AVBG FOREARM,Vascular_access
AVBG LEFT FOREARM,Vascular_access
AVBG LEFT UPPER ARM,Vascular_access
AVBG LF FOREARM,Vascular_access
AVBG LT ARM,Vascular_access
AVBG LT FOREARM,Vascular_access
"AVBG LT FOREARM , LIGATE AVF",Vascular_access
AVBG LT THIGH,Vascular_access
AVBG LT UPPER ARM,Vascular_access
AVBG LT UPPERAM,Vascular_access
AVBG LT UPPERARM,Vascular_access
AVBG LT UPPERARM( DOUBLE LOOP ),Vascular_access
AVBG LT. FOREARM,Vascular_access
AVBG LT. THIGH,Vascular_access
AVBG LT. UPPER ARM,Vascular_access
AVBG LT. UPPERARM,Vascular_access
AVBG LT.ARM,Vascular_access
AVBG LT.FOREARM,Vascular_access
AVBG LT.FOREARM UNDER,Vascular_access
AVBG LT.UPPER ARM,Vascular_access
AVBG LT.UPPER ARM (DOUBLE LOOP) +/- TCC RT.IJV,Vascular_access
AVBG LT.UPPERARM,Vascular_access
AVBG RT FORARM,Vascular_access
AVBG RT FOREARM,Vascular_access
AVBG RT FOREARM ( STENOSIS CEPHALIC VEIN ),Vascular_access
AVBG RT THIGH,Vascular_access
AVBG RT UPPER ARM,Vascular_access
AVBG RT UPPERARM,Vascular_access
AVBG RT UPPERARM ( DOUBLE LOOP ),Vascular_access
AVBG RT. FOREARM,Vascular_access
AVBG RT. UPPER ARM,Vascular_access
AVBG RT.FOREARM,Vascular_access
AVBG RT.FOREARM UNDER LA,Vascular_access
AVBG RT.UPPER ARM,Vascular_access
AVF AT LEFT CUBITAL,Vascular_access
AVF AT LT CUBITAL,Vascular_access
AVF AT LT WRIST,Vascular_access
AVF AT LT.CUBITAL AREA,Vascular_access
AVF AT LT.WRIST,Vascular_access
AVF AT MID FOREARM + ANEURYSMECTOMY,Vascular_access
AVF AT RT CUBITAL,Vascular_access
AVF LEFT CUBITAL,Vascular_access
AVF LEFT CUBITAL UNDER LA,Vascular_access
AVF LEFT TB1,Vascular_access
AVF LEFT WRIST,Vascular_access
AVF LT ARM,Vascular_access
AVF LT CUBITAL,Vascular_access
AVF LT CUBITAL ( PHLEBITIS FOREARM ),Vascular_access
AVF LT CUBITAL + LIGATE AVF LT WRIST,Vascular_access
AVF LT CUBITAL +- AVBG LT UPPER ARM,Vascular_access
AVF LT CUBITAL UNDER LA,Vascular_access
AVF LT CUBITAL WITH LIGATE AVF LT WRIST,Vascular_access
AVF LT CUBITAL ลงแผลสูง,Vascular_access
AVF LT CUBITAL เส้นอยู่ LATERAL มาก,Vascular_access
AVF LT CUBITAL+LIGATE AVF LT WRIST,Vascular_access
AVF LT FOREARM,Vascular_access
AVF LT FOREARM OR TB1,Vascular_access
AVF LT FOREARM มี FIBROSIS CEPHALIC VEIN ตรง JUNCTION,Vascular_access
AVF LT UPPER ARM,Vascular_access
AVF LT WRIST,Vascular_access
AVF LT WRIST + LIGATE AVF LT CUBITAL,Vascular_access
AVF LT WRIST OR CUBITAL,Vascular_access
AVF LT WRIST UNDER LA,Vascular_access
AVF LT.,Vascular_access
AVF LT. CUBITAL,Vascular_access
AVF LT. CUBITAL + OFF TCC,Vascular_access
AVF LT. CUBITAL UNDER LA,Vascular_access
AVF LT. WRIST,Vascular_access
AVF LT. WRIST (ต่อสูง),Vascular_access
AVF LT. WRIST LA,Vascular_access
AVF LT. WRIST UNDER,Vascular_access
AVF LT. WRIST UNDER LA,Vascular_access
AVF LT.CUBITAL,Vascular_access
AVF LT.CUBITAL + REPAIR PSEUDOANERUYSM LT.BRACHIAL,Vascular_access
AVF LT.CUBITAL OR AVBG LT.FOREARM (ต่อ BASILIC VEIN),Vascular_access
AVF LT.ELBOW,Vascular_access
AVF LT.RADIOCEPHALIC,Vascular_access
AVF LT.WRIST,Vascular_access
AVF OR AVBG,Vascular_access
AVF RT CUBITAL,Vascular_access
AVF RT CUBITAL + LIGATE AVF RT WRIST,Vascular_access
"AVF RT CUBITAL , ต่อ CUBITAL VEIN",Vascular_access
AVF RT CUBITAL+LIGATE AVF RT WRIST,Vascular_access
AVF RT FOREARM,Vascular_access
AVF RT FOREARM OR AVBG RT FOREARM,Vascular_access
AVF RT FOREARM OR CUBITAL,Vascular_access
AVF RT WRIST,Vascular_access
AVF RT WRIST + LIGATE AVF LT WRIST,Vascular_access
AVF RT WRIST OR CUBITAL,Vascular_access
AVF RT WRIST OR SNUFFBOX,Vascular_access
AVF RT WRIST เส้นเล็ก,Vascular_access
AVF RT WRIST เส้นเล็กมาก,Vascular_access
AVF RT WRIST/AVBG RT FOREARM,Vascular_access
AVF RT.,Vascular_access
AVF RT. CUBITAL,Vascular_access
AVF RT. WRIST,Vascular_access
AVF RT. WRIST (+/- AVF LT.CUBITAL ถ้า PT ใส่ CATHETER ก่อน),Vascular_access
AVF RT.CUBITAL,Vascular_access
AVF RT.FOREARM,Vascular_access
AVF RT.WRIST,Vascular_access
AVF RT.WRIST OR CUBITAL,Vascular_access
AVF RT.WRIST นอกเวลา,Vascular_access
AWAKE PROPHYLACTIC TRACHEOSTOMY + FOB+DL BX,Tracheostomy
AXILLARY NODE DISSECTION,Skin_softtissue
AXILLO-BIFEM BYPASS,สาขา:หลอดเลือด
BALLON ANGIOPLASTY LT,Vascular_interv
BALLOON AGIOPLASTY,Vascular_interv
BALLOON ANGIOPLASTY,Vascular_interv
BALLOON ANGIOPLASTY + STENT,Vascular_interv
"BALLOON ANGIOPLASTY +,- STENT",Vascular_interv
BALLOON ANGIOPLASTY +/- STENT,Vascular_interv
BALLOON ANGIOPLASTY +/- TCC RT IJV,Central_line
BALLOON ANGIOPLASTY AT LT.CEPHALIC VEIN,Vascular_interv
"BALLOON ANGIOPLASTY AT RT SFA, PA, PTA",Vascular_interv
BALLOON ANGIOPLASTY AT RT.INNOMINATE VEIN,Vascular_interv
BALLOON ANGIOPLASTY C PERM CATH LEFT IJV,Vascular_access
BALLOON ANGIOPLASTY LEFT AVG,Vascular_interv
BALLOON ANGIOPLASTY LT,Vascular_interv
BALLOON ANGIOPLASTY RIGHT CFA C SFA C ANGIOGRAM RIGHT BTK + RT.FOREFOOT AMPUTATION,Vascular_interv
BALLOON ANGIOPLASTY RT BASILLIC V.,Vascular_interv
BALLOON ANGIOPLASTY RT SFA C PA (CROSS OVER),Vascular_interv
BALLOON ANGIOPLASTY RT UPPER ARM,Vascular_interv
BALLOON ANGIOPLASTY WITH STENT,Vascular_interv
BALLOON ANGIOPLASTY ทำต่อจากเคสแรก,Vascular_interv
BALLOON ANGIOPLASTY เตรียมเงิน 20000,Vascular_interv
BALLOON ANGIOPLASTY+TCC LT IJV CENTROS,Central_line
BALLOON DILATATION LT SFA,Vascular_interv
BALLOON PTA + FISTULOGRAM,Vascular_access
BALLOON VENOPALSTY,Vascular_interv
BALLOON VENOPLASTY,Vascular_interv
BALLOON VENOPLASTY + LIGATE TRIBUTARY,Vascular_interv
BALLOON VENOPLASTY +/- REMOVE TCC,Vascular_interv
BALLOON VENOPLASTY +/- STENT,Vascular_interv
BALLOON VENOPLASTY +/- STENT WITH TCC INSERTION,Vascular_interv
BALLOON VENOPLASTY AT LT. AVF,Vascular_access
BALLOON VENOPLASTY LT,Vascular_interv
BALLOON VENOPLASTY LT AVF,Vascular_access
BALLOON VENOPLASTY OF CENTRAL VEIN,Vascular_interv
BALLOON VENOPLASTY OF OUTFLOW,Vascular_interv
BALLOON VENOPLASTY RT FOREARM,Vascular_interv
BALLOON VENOPLASTY WITH STENT,Vascular_interv
BALLOON VENOPLASTY WITH STENTING,Vascular_interv
BALOON VENOPLASTY,Vascular_interv
BANDING LT.BASILIC VEIN,สาขา:หลอดเลือด
BASILIC VEIN TRANSPOSITION,สาขา:หลอดเลือด
BASILLIC VEIN TRANPOSITION RT FOREARM,สาขา:หลอดเลือด
BCS WITH LICAP LT.,สาขา:ศัลยกรรมทั่วไป
BCS WITH SLNB/TOTAL MASTECTOMY,Breast
BCT + SLNB,Breast
"BCT LEFT BREAST + SLNB, MCW LICAP",Breast
BCT+SLNB (MCE-LICAP),Breast
BHC,สาขา:ศัลยกรรมทั่วไป
BIALTERAL MASTECOTOMY + SLNB,Breast
"BIALTERAL SKIN REDUCING MASTECOMY WITH IMPLANT RECONSTRUCTION, SLNB",Breast
BIFRONTAL CRANIOTOMY C REPAIR BASE OF SKULL,Neuro_cranial
BIFRONTAL CRANIOTOMY C TUMOR REMOVAL,Neuro_cranial
BIFRONTAL CRANIOTOMY C TUMOT REMOVAL,Neuro_cranial
BIFRONTAL CRANIOTOMY WITH REMOVE TUMOR,Neuro_cranial
BIFRONTAL CRANIOTOMY WITH TUMOR REMOVAL,Neuro_cranial
BIFRONTAL RE-CRANIOTOMY WITH TUMOR REMOVAL,Neuro_cranial
BILAT BURR HOLE C IRRIGATION,Neuro_cranial
BILAT CRANIOTOMY C CLOT REMMOVAL,Neuro_cranial
BILAT DJ STENT INSERTION,Vascular_interv
BILAT DJ STENT WITH RP,Vascular_interv
BILAT DOWNHILL ANGIOPLASTY BOTH LEG,Vascular_interv
BILAT ENARTERECTMY OF COMMON FEMORAL ARTERY WITH CERAB WITH ANGIOPLASTY RIGHT LEG,Vascular_interv
BILAT ESS + SEPTOPLASTY + NAVIGATOR,ENT
BILAT ESS WITH SEPTOPLASTY,ENT
BILAT ESS+NAVIGATOR,สาขา:หู คอ จมูก
BILAT FESS,ENT
BILAT FESS NAVIGATOR MICRODEBRIDER,ENT
BILAT FESS WIHT MICRODEBRIDER WITH NAVIGATOR,ENT
BILAT FESS WITH MICRODEBRIDER,ENT
BILAT FESS WITH MICRODEBRIDER WITH NAVIGATOR,ENT
BILAT FESS WITH MICRODEBRIDER WITH NAVIGATOR WITH ENDOSEPTO TURBINOPLASTY,ENT
BILAT FESS WITH MICRODEBRIDER WITH NAVIGATORS,ENT
"BILAT FESS WITH NAVIGATE, MICRODEBRIDER",ENT
BILAT FESS WITH NAVIGATOR,ENT
BILAT FESS WITH NAVIGATOR WITH MICRODEBRIDER,ENT
BILAT FESS WITH NAVIGOTOR WITH MICRODEBRIDER,ENT
BILAT FESS+-SEPTOPLASTY+ NAVIGATOR,ENT
BILAT FESS+NAVIGATOR,ENT
BILAT FESS+SEPTOPLASTY+NAVIGATOR,ENT
BILAT FESS+TURBINOPLASTY,ENT
BILAT FULL HOUSE FESS+ SEPTOPLASTY,ENT
BILAT FULLHOUSE FESS+ NAVIGATOR,ENT
BILAT FULLHOUSE FESS+SEPTOPLASTY,ENT
BILAT LAP TAPP,สาขา:ศัลยกรรมทั่วไป
BILAT LAP TEP,สาขา:ศัลยกรรมทั่วไป
BILAT MMA,สาขา:หู คอ จมูก
BILAT MMA+SEPTOTURBINOPLASTY,ENT
BILAT ORCHIDECTOMY,Uro_other
BILAT ORCHIDECTOMYWITH REPAIR RT HERNIA ผ่ากับอ.เอ๊นท์,Uro_other
BILAT ORCHIDOPLEXY,Uro_other
BILAT ORCHIECTOMY,Uro_other
BILAT PCN,สาขา:ทางเดินปัสสาวะ
BILAT REVISION FESS+NAVIGATOR,ENT
BILAT RFA WITH BILAT PHLEBECTOMY,สาขา:หลอดเลือด
BILAT RFA WITH RT PHLEBECTOMY,สาขา:หลอดเลือด
BILAT RFA WITH RT SSV LIGATION WITH DISTAL SCLEROTHERAPY,สาขา:หลอดเลือด
BILAT TEP,สาขา:ศัลยกรรมทั่วไป
BILAT UPPER BLEPHALOPLASTY,สาขา:ตกแต่ง
BILAT URS,Cystoscopy_URO
BILAT URS +- DJ STENT,Cystoscopy_URO
