variant,canonical
AVBG LEFT UPPER ARM,AVBG LT UPPER ARM
PERM CATH,PERM CATH
LT MASTECTOMY,LT MASTECTOMY
STSG AT LEFT FOOT,STSG AT LEFT FOOT
REVISE TCC AT LT IJV,REVISE TCC LT IJV
LIGATE AVF LT WRIST,LIGATE AVF RT WRIST
LAPAROSCOPIC AR,LAPAROSCOPIC APR
PROXIMALIZATION,PROXIMALIZATION
PCNL RT,RT PCNL
RT CRANIOTOMY WITH TUMOR REMOVAL,CRANIOTOMY WITH TUMOR REMOVAL
TCC RT IJV UNDER LA,TCC RT IJV UNDER LA
U L EYELID CORRECTION,U L EYELID CORRECTION
OFF TCC RT IJV,OFF TCC RT IJV
CORRCTION UPPER EYELID,CORRECTION UPPER EYELID
CHANGE RT DJ STENT,CHANGE RT DJ STENT
RFA BOTH LEG,RFA BOTH LEG
RIGHT PCNL,RIGHT PCNL
ORCHIOPEXY,ORCHIOPEXY
MRI FUSION TRUX BX,MRI FUSION TRUS BX
BIFRONTAL CRANIOTOMY WITH TUMOR REMOVAL,BIFRONTAL CRANIOTOMY WITH TUMOR REMOVAL
LEFT VP SHUNT,LEFT VP SHUNT
CYSTOSCOPE WITH REMOVE DJ STENT,FLEX CYSTOSCOPY WITH REMOVE DJ STENT
GRAFT THROMBECTOMY WITH BALLOON VENOPLASTY,GRAFT THROMBECTOMY WITH BALLOON VENOPLASTY
REVISE AVF RT CUBITAL,REVISE AVF RT CUBITAL
AVBG LT THIGH,AVBG LT THIGH
RIGHT HERNIOPLASTY,RT HERNIOPLASTY
RFA HEMORRHOIDECTOMY,HEMORRHOIDECTOMY
HEMORRHIODECTOMY,HEMORRHOIDECTOMY
REVISE TCC RT FV,REVISE TCC RT IJV
MICROWAVE ABLATION RIGHT THYROID MASS UNDER LA,MICROWAVE ABLATION RIGHT THYROID MASS UNDER LA
L2 5 LAMINECTOMY WITH PDS FIXATION,LAMINECTOMY WITH PDS FIXATION L4 5
RT MASTECTOMY SLNB,RT MASTECTOMY C SLNB
RT MASTECTOMY WITH ALND,RT MASTECTOMY WITH ALND
ABDOMINAL TOILET CHANGE VAC DRESSING,ABDOMINAL TOILET C VAC DRESSING
OPEN TTD WITH CND,OPEN TTD WITH CND
TRACHEOSTOMY TUBE,TRACHEOSTOMY TUBE
LT LAP TAPP,LAP TAPP RT
TCC INSERTION AT LT IJV,TCC INSERTION AT RT IJV
EXCISION RIGHT BREAST MASS,EXCISION RT BREAST MASS
FISTULOGRAM PTA LT ARM,FISTULOGRAM PTA LT ARM
CLOSED [ENDOSCOPIC] BIOPSY OF ESOPHAGUS,CLOSED [ENDOSCOPIC] BIOPSY OF ESOPHAGUS
RT TB1,RT TB1
LAP DISTAL PANCREATECTOMY,LAP DISTAL PANCREATECTOMY
CYSTOSCOPE DILATE URETHRA,CYSTOSCOPY DILATE URETHRA
